"","day","year","mo","da","collision_date","temp","dewp","slp","visib","wdsp","mxpsd","gust","max","min","prcp","sndp","fog","NUM_COLLISIONS","norm_all","stan_all","norm_yr","stan_yr"
"1",1,2012,7,1,"2012-07-01",83.6,63,1008.9,9.7,4.1,9.9,18.1,93,66,0,999.9,0,538,0.359712230215827,-0.574017931398742,0.529801324503311,-0.0996047273680093
"2",3,2012,7,2,"2012-07-02",80.3,54.1,1011.6,10,3.8,15,999.9,88,66.9,0,999.9,0,564,0.386433710174717,-0.314533772487038,0.58719646799117,0.207226577029
"3",4,2012,7,3,"2012-07-03",79.8,56.7,1012.8,10,2.9,12,999.9,88,63,0,999.9,0,664,0.489208633093525,0.683482223327209,0.80794701986755,1.38734697855596
"4",5,2012,7,4,"2012-07-04",81.8,65.6,1009.1,9.2,3.6,11.1,999.9,91,68,0.06,999.9,0,432,0.250770811921891,-1.63191488696184,0.295805739514349,-1.35053235298658
"5",6,2012,7,5,"2012-07-05",86.7,64.3,1007.4,9.4,3.8,15,999.9,93.9,70,99.99,999.9,0,591,0.414182939362795,-0.0450694536171912,0.646799116997792,0.525859085441278
"6",7,2012,7,6,"2012-07-06",81.9,62.3,1011.7,10,3.1,9.9,999.9,91,66.9,0,999.9,0,638,0.462487153134635,0.423998064415505,0.750551876379691,1.08051567415895
"7",2,2012,7,7,"2012-07-07",84.9,65.9,1010.1,9.5,3.1,14,17.1,95,70,0,999.9,0,490,0.3103802672148,-1.05306560938958,0.423841059602649,-0.666062520100949
"8",1,2012,7,8,"2012-07-08",80.6,65.5,1010.1,8.5,3.1,8,15.9,90,70,0.59,999.9,0,464,0.28365878725591,-1.31254976830129,0.36644591611479,-0.972893824497958
"9",3,2012,7,9,"2012-07-09",78.5,56.8,1012.7,10,3.5,9.9,999.9,84,68,0.09,999.9,0,533,0.354573484069887,-0.623918731189455,0.518763796909492,-0.158610747444357
"10",4,2012,7,10,"2012-07-10",76.5,56.3,1016,10,3.4,9.9,999.9,86,61,0,999.9,0,524,0.345323741007194,-0.713740170812737,0.498896247240618,-0.264821583581783
"11",5,2012,7,11,"2012-07-11",77.1,62,1019.9,10,1.9,7,999.9,84,64.9,0,999.9,0,565,0.387461459403905,-0.304553612528896,0.589403973509934,0.219027781044269
"12",6,2012,7,12,"2012-07-12",77.4,60.2,1021.7,10,2.3,7,999.9,88,57,0,999.9,0,577,0.399794450154162,-0.184791693031186,0.615894039735099,0.360642229227504
"13",7,2012,7,13,"2012-07-13",78.9,60.7,1021.8,9.9,3,7,999.9,87.1,63,0,999.9,0,603,0.426515930113052,0.0746924658805185,0.673289183222958,0.667473533624513
"14",2,2012,7,14,"2012-07-14",78.5,62.7,1021.6,10,3.5,13,19,82,68,0,999.9,1,536,0.357656731757451,-0.593978251315027,0.525386313465784,-0.123207135398548
"15",1,2012,7,15,"2012-07-15",79.7,68.6,1018.3,9.1,2.8,13,999.9,87.1,70,0,999.9,0,494,0.314491264131552,-1.01314496955701,0.432671081677704,-0.618857704039871
"16",3,2012,7,16,"2012-07-16",79,67.9,1011.5,9.2,4,14,22,91,70,0.26,999.9,0,528,0.349434737923947,-0.673819530980167,0.507726269315673,-0.217616767520705
"17",4,2012,7,17,"2012-07-17",84.6,63.3,1009.3,9.4,3.5,9.9,18.1,93.9,70,0,999.9,0,648,0.472764645426516,0.52379966399693,0.772626931567329,1.19852771431164
"18",5,2012,7,18,"2012-07-18",85.3,69.1,1008.9,7.2,3.7,13,20,100,73,0,999.9,1,559,0.381294964028777,-0.36443457227775,0.576158940397351,0.148220556952652
"19",6,2012,7,19,"2012-07-19",73.3,67.2,1013.2,7.5,3.4,15,18.1,75.9,68,1.76,999.9,0,522,0.343268242548818,-0.733700490729022,0.494481236203091,-0.288423991612323
"20",7,2012,7,20,"2012-07-20",67.2,62.8,1014.9,7.4,6.5,13,21,73.9,61,0.17,999.9,0,604,0.42754367934224,0.0846726258386609,0.675496688741722,0.679274737639783
